name,ra,dec,vmag
HIP 72370,14 47 51.7262,-79 02 40.965,3.83
HIP 81065,16 33 27.4642,-78 53 49.053,3.86
HIP 107089,21 41 28.4731,-77 23 22.064,3.73
アカマル,00 25 39.2020,-77 15 18.126,2.82
HIP 17678,03 47 14.2315,-74 14 21.273,3.26
HIP 50954,10 24 23.7405,-74 01 53.561,3.99
HIP 98495,20 00 35.3933,-72 54 36.664,3.97
HIP 37504,07 41 49.1960,-72 36 22.087,3.93
HIP 61199,12 32 28.1110,-72 07 58.713,3.84
HIP 63613,13 02 15.7775,-71 32 55.675,3.61
HIP 34481,07 08 44.8245,-70 29 57.100,3.78
HIP 50099,10 13 44.2789,-70 02 16.518,3.29
ミヤプラキドゥス,09 13 12.2408,-69 43 02.901,1.67
HIP 61585,12 37 11.0837,-69 08 07.921,2.69
ピーコック,16 48 39.8658,-69 01 39.486,1.91
HIP 74946,15 18 54.6888,-68 40 46.082,2.87
HIP 62322,12 46 16.8696,-68 06 29.139,3.04
HIP 35228,07 16 49.8308,-67 57 25.821,3.97
HIP 57363,11 45 36.5673,-66 43 43.836,3.63
HIP 102395,20 44 57.5557,-66 12 11.658,3.42
HIP 99240,20 08 41.8601,-66 10 45.556,3.55
HIP 41312,08 25 44.2462,-66 08 11.474,3.77
HIP 48002,09 47 06.1376,-65 04 19.268,2.92
HIP 71908,14 42 30.6850,-64 58 28.450,3.18
HIP 17440,03 44 11.5549,-64 48 25.538,3.84
HIP 86929,17 45 44.0024,-64 43 25.444,3.61
HIP 52419,10 42 57.4267,-64 23 40.126,2.74
HIP 79664,16 15 26.2661,-63 41 08.336,3.86
HIP 77952,15 55 08.8080,-63 25 47.099,2.83
アクルックス,12 26 35.9414,-63 05 56.601,0.77
HIP 56561,11 35 46.9283,-63 01 11.370,3.11
HIP 47854,09 45 14.8276,-62 30 28.524,3.69
HIP 26069,05 33 37.5164,-62 29 23.481,3.76
HIP 19780,04 14 25.4311,-62 28 26.324,3.33
HIP 45101,09 11 16.7679,-62 19 01.257,3.96
HIP 32607,06 48 11.5371,-61 56 31.128,3.24
HIP 51576,10 32 01.4838,-61 41 07.297,3.30
HIP 9236,01 58 45.8718,-61 34 11.728,2.86
HIP 50371,10 17 05.0053,-61 19 56.351,3.39
トリマン,14 39 39.3908,-60 50 22.097,1.35
リギル・ケンタウルス,14 39 40.8985,-60 50 06.529,-0.01
HIP 85727,17 31 05.9769,-60 41 00.984,3.60
HIP 43783,08 55 02.8617,-60 38 40.963,3.84
HIP 60260,12 21 21.8113,-60 24 04.932,3.59
ハダル,14 03 49.4446,-60 22 22.722,0.61
HIP 110130,22 18 30.1782,-60 15 34.181,2.87
ガクルックス,12 47 43.3189,-59 41 19.437,1.25
アヴィオール,08 22 30.8647,-59 30 34.338,1.86
HIP 45556,09 17 05.4284,-59 16 30.940,2.21
HIP 82363,16 49 47.1114,-59 02 28.739,3.77
HIP 54463,11 08 35.3956,-58 58 30.151,3.93
HIP 45080,09 10 58.1053,-58 58 00.949,3.43
HIP 53253,10 53 29.5662,-58 51 11.753,3.78
HIP 59747,12 15 08.7570,-58 44 56.046,2.79
HIP 51232,10 27 52.7451,-58 44 21.871,3.81
HIP 103227,20 54 48.5796,-58 27 14.741,3.67
HIP 114996,23 17 25.8120,-58 14 09.339,3.99
アケルナル,01 37 42.7517,-57 14 11.976,0.45
ベクルックス,12 31 09.9293,-57 06 45.249,1.59
HIP 46701,09 31 13.3538,-57 02 03.810,3.16
HIP 100751,20 25 38.8496,-56 44 05.571,1.94
HIP 85267,17 25 23.6599,-56 22 39.678,3.31
HIP 83081,16 58 37.2308,-55 59 24.198,3.12
HIP 85258,17 25 17.9972,-55 31 47.366,2.84
HIP 5348,01 08 23.0601,-55 14 44.996,3.94
HIP 21281,04 33 59.7184,-55 02 42.020,3.30
HIP 45941,09 22 06.8292,-55 00 38.503,2.47
アスピディスケ,08 44 42.1973,-54 42 30.845,1.93
HIP 48774,09 56 51.7548,-54 34 04.070,3.52
HIP 55425,11 21 00.4422,-54 29 27.650,3.90
HIP 66657,13 39 53.2727,-53 27 58.906,2.29
HIP 38827,07 56 46.7417,-52 58 56.642,3.46
HIP 42536,08 40 17.6092,-52 55 19.101,3.60
カノープス,06 23 57.0906,-52 41 44.585,-0.62
HIP 59449,12 11 39.1514,-52 22 06.296,3.97
HIP 74395,15 12 17.2032,-52 05 56.669,3.41
HIP 9007,01 55 56.8325,-51 36 34.512,3.69
HIP 10602,02 16 30.5003,-51 30 43.601,3.56
HIP 112623,22 48 33.1971,-51 19 00.133,3.49
HIP 27321,05 47 17.0833,-51 04 00.168,3.85
HIP 59196,12 08 21.5436,-50 43 20.676,2.58
HIP 32768,06 49 56.1368,-50 36 51.839,2.94
HIP 60823,12 28 02.4116,-50 13 50.177,3.91
HIP 88714,18 06 37.8788,-50 05 29.237,3.65
HIP 85792,17 31 50.5216,-49 52 33.534,2.84
HIP 52727,10 46 46.1221,-49 25 12.451,2.69
HIP 7083,01 31 14.9815,-49 04 23.077,3.93
HIP 61932,12 41 31.2050,-48 57 35.588,2.20
HIP 74376,15 11 56.1610,-48 44 15.728,3.88
HIP 61622,12 37 42.3278,-48 32 28.637,3.85
HIP 51986,10 37 18.2568,-48 13 32.219,3.84
HIP 71860,14 41 55.7738,-47 23 17.309,2.30
レゴール,08 09 31.9553,-47 20 11.802,1.75
HIP 101772,20 37 33.9897,-47 17 29.985,3.11
HIP 68002,13 55 32.4349,-47 17 17.759,2.55
HIP 44511,09 04 09.3205,-47 05 51.770,3.75
HIP 73807,15 05 07.1057,-47 03 04.298,3.91
アルナイル,22 08 13.8764,-46 57 38.217,1.73
HIP 112122,22 42 39.9349,-46 53 04.437,2.07
HIP 5165,01 06 05.1065,-46 43 06.566,3.32
HIP 42570,08 40 37.5753,-46 38 55.518,3.77
HIP 69996,14 19 24.2327,-46 03 29.102,3.55
HIP 43023,08 46 01.6547,-46 02 29.541,3.87
HIP 90422,18 26 58.4303,-45 58 05.985,3.49
HIP 765,00 09 24.5399,-45 44 49.158,3.88
HIP 114421,23 10 21.4279,-45 14 47.931,3.88
HIP 68282,13 58 40.7714,-44 48 12.713,3.87
HIP 75264,15 22 40.8875,-44 41 22.463,3.37
HIP 95241,19 22 38.2865,-44 27 32.076,3.96
HIP 2072,00 26 12.1162,-43 40 47.674,3.93
HIP 110997,22 29 16.1541,-43 29 43.996,3.97
ナオス,09 07 59.7771,-43 25 57.447,2.23
HIP 6867,01 28 21.9417,-43 19 03.825,3.41
HIP 36377,07 29 13.8783,-43 18 06.809,3.25
HIP 84143,17 12 09.1759,-43 14 18.565,3.32
HIP 31685,06 37 45.6717,-43 11 45.326,3.17
HIP 73273,14 58 31.9541,-43 08 01.921,2.68
アトリア,17 37 19.1258,-42 59 52.158,1.86
HIP 28328,05 59 08.7905,-42 48 54.387,3.96
HIP 67472,13 49 37.0078,-42 28 25.266,3.47
HIP 82729,16 54 35.1052,-42 21 38.733,3.62
HIP 2081,00 26 16.8674,-42 18 18.439,2.40
HIP 19747,04 14 00.0813,-42 17 37.943,3.85
HIP 71352,14 35 30.4516,-42 09 27.884,2.33
HIP 50191,10 14 44.2738,-42 07 19.426,3.85
HIP 73334,14 59 09.6990,-42 06 14.911,3.13
HIP 68245,13 58 16.2847,-42 06 02.539,3.83
HIP 67464,13 49 30.2974,-41 41 15.575,3.41
HIP 76297,15 35 08.4604,-41 10 00.102,2.80
HIP 75141,15 21 22.3364,-40 38 50.854,3.22
HIP 95347,19 23 53.1514,-40 36 56.327,3.96
HIP 38414,07 52 13.0455,-40 34 32.876,3.71
HIP 46651,09 30 42.1130,-40 28 00.795,3.60
アンカー,02 58 15.7156,-40 18 17.046,2.88
HIP 87073,17 47 35.0811,-40 07 37.135,2.99
アル・スハイル,08 03 35.0701,-40 00 11.478,2.21
HIP 65936,13 31 02.6685,-39 24 26.207,3.90
HIP 86670,17 42 29.2798,-39 01 47.715,2.39
HIP 78384,16 00 07.3405,-38 23 47.907,3.42
HIP 82514,16 51 52.2389,-38 02 50.378,3.00
HIP 82545,16 52 20.1535,-38 01 02.920,3.56
HIP 37819,07 45 15.3039,-37 58 06.955,3.62
HIP 108085,21 53 55.6541,-37 21 53.362,3.00
HIP 85696,17 30 45.8388,-37 17 44.665,2.70
シャウラ,17 33 36.5265,-37 06 13.494,1.62
HIP 35264,07 17 08.5642,-37 05 50.953,2.71
HIP 87261,17 49 51.4512,-37 02 36.136,3.19
